Rank,Last Year's Rank,Company,Leadership,Country,2017 Defense Revenue* (in millions),2016 Defense Revenue* (in millions),% Defense Revenue Change,2017 Total Revenue* (in millions),Revenue From Defense
1,1,Lockheed Martin 1,"Marillyn Hewson, Chairman, President and CEO",US,"$47,985.00 ","$43,468.00 ",10%,"$51,048.00 ",94%
2,4,Raytheon Company 1,"Thomas Kennedy, Chairman and CEO",US,"$23,573.64 ","$22,384.17 ",5%,"$25,348.00 ",93%
3,3,BAE Systems,"Charles Woodburn,  CEO",UK,"$22,380.04 ","$23,621.84 ",-5%,"$25,288.20 ",88%
4,5,Northrop Grumman 2,"Wes Bush, Chairman and CEO",US,"$21,700.00 ","$20,200.00 ",7%,"$25,803.00 ",84%
5,2,Boeing 3,"Dennis Muilenburg, President and CEO",US,"$20,561.00 ","$20,180.00 ",2%,"$94,005.00 ",22%
6,6,General Dynamics 4,"Phebe Novakovic, Chairman and CEO",US,"$19,587.00 ","$19,696.00 ",-1%,"$30,973.00 ",63%
7,7,Airbus,"Thomas Enders, CEO",Netherlands,"$11,185.91 ","$12,321.00 ",-9%,"$75,702.63 ",15%
8,11,Almaz-Antey 5,"Yan Novikov, CEO",Russia,"$9,125.02 ","$6,581.69 ",39%,"$9,125.02 ",100%
9,10,Thales,"Patrice Caine, Chairman and CEO",France,"$8,926.13 ","$8,362.00 ",7%,"$17,852.26 ",50%
10,9,Leonardo,"Alessandro Profumo, CEO",Italy,"$8,856.48 ","$8,526.22 ",4%,"$13,024.24 ",68%
11,12,United Technologies,"Gregory Hayes, Chairman and CEO",US,"$7,826.00 ","$6,888.00 ",14%,"$60,200.00 ",13%
12,8,L3 Technologies 6,"Christopher Kubasik, Chairman, CEO and President",US,"$7,749.00 ","$7,629.00 ",2%,"$9,573.00 ",81%
13,13,Huntington Ingalls Industries 1,"Mike Petters, President and CEO",US,"$7,030.00 ","$6,778.21 ",4%,"$7,400.00 ",95%
14,14,United Aircraft Corp. 7,"Yury Slyusar, President, Chairman of the Management Board",Russia,"$6,197.25 ","$5,636.84 ",10%,"$7,746.56 ",80%
15,18,Leidos,"Roger Krone, Chairman and CEO",US,"$5,218.00 ","$4,252.00 ",23%,"$10,170.00 ",51%
16,15,Rolls-Royce,"Warren East, CEO",UK,"$4,625.73 ","$4,741.15 ",-2%,"$28,582.91 ",16%
17,22,Booz Allen Hamilton,"Horacio Rozanski, President and CEO",US,"$4,320.00 ","$4,000.00 ",8%,"$6,171.85 ",70%
18,23,Naval Group 8,"Hervé Guillou, Chairman and CEO",France,"$4,178.33 ","$3,540.90 ",18%,"$4,178.33 ",100%
19,20,Harris Corporation 9,"Bill Brown, Chairman, President and CEO",US,"$4,158.00 ","$4,213.00 ",-1%,"$5,979.00 ",70%
20,16,Textron Inc.,"Scott Donnelly, Chairman and CEO",US,"$4,117.42 ","$4,412.16 ",-7%,"$14,198.00 ",29%
21,17,Honeywell,"Darius Adamczyk, Chairman and CEO",US,"$4,100.00 ","$4,375.00 ",-6%,"$40,534.00 ",10%
22,24,GE Aviation,"David Joyce, GE Vice Chairman, President and CEO,",US,"$3,991.00 ","$3,500.00 ",14%,"$27,013.00 ",15%
23,19,Hanwha,"Seung Youn Kim, Chairman and CEO",South Korea,"$3,895.27 ","$4,214.97 ",-8%,"$44,507.09 ",9%
24,28,Bechtel 10,"Brendan Bechtel, Chairman and CEO",US,"$3,576.00 ","$3,020.00 ",18%,~,~
25,32,"Tactical Missiles Corporation, JSC","Boris Obnosov, Director General",Russia,"$3,573.95 ","$2,866.24 ",25%,"3,624.21",99%
26,25,GKN Aerospace 7 11,"Hans Buthker, Chief Executive",UK,"$3,484.12 ","$3,316.55 ",5%,"13,400.45",26%
27,26,Rheinmetall,"Armin Papperger, CEO",Germany,"$3,430.35 ","$3,270.06 ",5%,"6,661.83",51%
28,27,Elbit Systems Ltd.,"Bezhalel Machlis, President and CEO",Israel,"$3,377.83 ","$3,147.20 ",7%,"3,377.83",100%
29,29,Babcock International 1,"Mike Turner, Chairman, and Archie Bethel, Chief Executive",UK,"$3,341.03 ","$2,963.71 ",13%,"7,108.58",47%
30,31,Orbital ATK 12,"David W. Thompson, CEO",US,"$3,300.00 ","$2,871.00 ",15%,"4,760.00",69%
31,30,AECOM,"Michael Burke, Chairman and CEO",US,"$3,197.78 ","$2,939.80 ",9%,"18,203.40",18%
32,38,Saab,"Håkan Buskhe, President and CEO",Sweden,"$3,090.07 ","$2,777.27 ",11%,"3,678.65",84%
33,-,KNDS 13,"Frank Haun, CEO of KMW, and Stéphane Mayer, Chairman and CEO of the Nexter Group",France,"$2,991.95 ","$2,903.84 ",3%,"2,991.95",100%
34,36,CACI International,"Ken Asbury, President and CEO",US,"$2,829.31 ","$2,439.33 ",16%,"4,354.62",65%
