This year's rank,Last Year's Rank,Company,Leadership,Country,2021 Defense Revenue (in millions),2020 Defense Revenue (in millions),% Defense Revenue Change,2021 Total Revenue (in millions),Revenue From Defense
1,1,Lockheed Martin 1  2,"James D. Taiclet, Chairman, President and CEO",US,"$64,458.00 ","$62,562.00 ",3%,"$67,044.00 ",96%
2,2,Raytheon Technologies 1,"Gregory J. Hayes, Chairman and CEO",US,"$41,852.20 ","$42,000.00 ",0%,"$64,388.00 ",65%
3,3,Boeing,"David Calhoun, President and CEO",US,"$35,093.00 ","$32,400.00 ",8%,"$62,286.00 ",56%
4,4,Northrop Grumman,"Kathy J. Warden, Chair, CEO and President",US,"$31,429.00 ","$31,400.00 ",0%,"$35,667.00 ",88%
5,5,General Dynamics,"Phebe Novakovic, Chairman and CEO",US,"$30,800.00 ","$29,800.00 ",3%,"$38,500.00 ",80%
6,6,Aviation Industry Corporation of China,"Tan Ruisong, Chairman of the Board, and Hao Zhaoping, Director and General Manager *",China,"$30,155.22 ","$25,468.59 ",18%,"$80,424.24 ",37%
7,7,BAE Systems 1,"Charles Woodburn, Group CEO",UK,"$25,775.20 ","$23,502.38 ",10%,"$26,849.16 ",96%
8,10,China State Shipbuilding Corporation Limited 3,"Lei Fanpei, Chairman, and Yang Jincheng, Director and General Manager",China,"$18,517.72 ","$16,017.53 ",16%,"$92,573.10 ",20%
9,8,China North Industries Group Corporation Limited,"Liu Shiquan, Chairman, and Liu Dashan, President *",China,"$17,711.93 ","$15,249.27 ",16%,"$81,648.42 ",22%
10,9,L3Harris Technologies 4,"Christopher E. Kubasik, Vice Chair and CEO *",US,"$14,924.00 ","$14,936.00 ",0%,"$17,814.00 ",84%
11,15,China Electronics Technology Group 5,"Xiong Qunli, Chairman, and Wu Manqing, President",China,"$14,659.22 ","$10,465.75 ",40%,"$57,629.62 ",25%
12,13,Leonardo,"Alessandro Profumo, CEO",Italy,"$13,878.35 ","$11,173.33 ",24%,"$16,720.97 ",83%
13,14,China South Industries Group Corporation,"Xu Xianping, Chairman of the Group and Secretary of the Party Committee, and Chen Guoying, Director and General Manager *",China,"$13,744.95 ","$10,697.68 ",28%,"$44,349.55 ",31%
14,11,China Aerospace Science and Industry Corporation,"Yuan Jie, Chairman, and Wei Yiyin, Deputy General Manager *",China,"$13,125.11 ","$12,060.26 ",9%,"$41,033.41 ",32%
15,12,Airbus 6,"Guillaume Faury, CEO",Netherlands/France,"$10,853.55 ","$12,004.28 ",-10%,"$61,689.56 ",18%
16,16,Thales,"Patrice Caine, Chairman and CEO",France,"$10,212.39 ","$9,228.36 ",11%,"$19,154.29 ",53%
17,17,HII 7,"Christopher Kastner, President and CEO *",US,"$9,475.00 ","$8,654.37 ",9%,"$9,524.00 ",99%
18,18,China Aerospace Science and Technology Corporation,"Wu Yansheng, Chairman, and Zhang Zhongyang, Director and General Manager *",China,"$9,344.09 ","$8,305.92 ",12%,"$43,636.74 ",21%
19,19,Leidos,"Roger Krone, Chairman and CEO",US,"$8,032.00 ","$7,341.00 ",9%,"$13,737.00 ",58%
20,34,Dassault Aviation 8,"Eric Trappier, Chairman and CEO",France,"$6,151.33 ","$3,724.44 ",65%,"$8,517.23 ",72%
21,23,Amentum 9,"John Heller, CEO *",US,"$5,900.00 ","$5,000.00 ",18%,"$9,200.00 ",64%
22,22,Booz Allen Hamilton,"Horacio D. Rozanski, President and CEO",US,"$5,528.51 ","$5,470.21 ",1%,"$8,363.70 ",66%
23,21,Honeywell 10,"Darius Adamczyk, Chairman and CEO",US,"$5,151.00 ","$5,826.00 ",-12%,"$34,392.00 ",15%
24,32,Mitsubishi Group 11,"Katsuya Nakanishi, President and CEO *",Japan,"$5,004.36 ","$3,788.12 ",32%,"$8,350.31 ",60%
25,96,Peraton 12,"Stu Shea, Chairman, President and CEO",US,"$5,000.00 ",$651.20 ,668%,"$7,200.00 ",69%
26,26,Safran 1,"Olivier Andries, CEO",France,"$4,981.39 ","$4,707.20 ",6%,"$18,048.24 ",28%
27,25,Rolls-Royce,"Warren East, Chief Executive",UK,"$4,972.07 ","$4,863.94 ",2%,"$15,056.49 ",33%
28,33,Naval Group,"Pierre Eric Pommellet, Chairman and CEO",France,"$4,850.09 ","$3,766.68 ",29%,"$4,850.09 ",100%
29,29,Rheinmetall AG 13,"Armin Papperger, CEO",Germany,"$4,788.57 ","$4,249.50 ",13%,"$6,693.12 ",72%
