"Rank","Last Year's Rank","Company","Leadership","Country","2015 Defense Revenue* (in millions)","2014 Defense Revenue* (in millions)","% Defense Revenue Change","2015 Total Revenue* (in millions)","Revenue From Defense"
"1","1","Lockheed Martin 1 2","Marillyn Hewson, Chairman, President and CEO","US","40,596.00","40,128.00","1.17%","46,132.00","88.00%"
"2","2","Boeing","Dennis Muilenburg, President and   CEO","US","30,388.00","29,000.00","4.79%","96,114.00","31.62%"
"3","3","BAE Systems","Ian Graham King, CEO","UK","25,278.08","25,449.00","-0.67%","27,357.31","92.40%"
"4","4","Raytheon 1","Thomas Kennedy, Chairman and CEO","US","21,619.71","22,228.20","-2.74%","23,247.00","93.00%"
"5","5","General Dynamics","Phebe Novakovic, Chairman and CEO","US","19,148.00","18,561.00","3.16%","31,469.00","60.85%"
"6","6","Northrop Grumman","Wes Bush, Chairman, President and   CEO","US","17,600.00","18,400.00","-4.35%","23,526.00","74.81%"
"7","7","Airbus","Fabrice BrŽgier, President and CEO","Netherlands","12,776.10","14,609.50","-12.55%","71,539.50","17.86%"
"8","9","Leonardo Spa 3","Mauro Moretti, CEO and General   Manager","Italy","9,318.45","9,808.00","-4.99%","14,424.45","64.60%"
"9","10","L-3 Communications","Michael Strianese, Chairman,   President and CEO","US","8,772.00","9,808.00","-10.56%","10,466.00","83.81%"
"10","12","Thales","Patrice Caine, Chairman and CEO","France","7,863.24","8,461.60","-7.07%","15,609.93","50.37%"
"11","11","Almaz-Antey","Yan Novikov, CEO","Russia","6,965.77","9,209.80","-24.37%","6,965.77","100.00%"
"12","13","Huntington Ingalls Industries","Mike Petters, President and CEO","US","6,879.60","6,818.00","0.90%","7,020.00","98.00%"
"13","8","United Technologies Corporation 2","Gregory Hayes, President, CEO and   Director","US","6,780.00","13,020.00","-47.93%","56,500.00","12.00%"
"14","15","Rolls-Royce","Warren East, CEO","UK","4,790.28","5,433.70","-11.84%","19,795.40","24.20%"
"15","16","Honeywell","David Cote, CEO","US","4,715.00","4,754.00","-0.82%","38,581.00","12.22%"
"16","14","United Aircraft Corporation 4","Yury Slyusar, President and   Chairman","Russia","4,643.76","6,244.00","-25.63%","5,804.70","80.00%"
"17","39","Harris 5","Bill Brown, Chairman, President and   CEO","US","4,400.00","2,384.70","84.51%","7,467.00","58.93%"
"18","17","Textron","Scott Donnelly, Chairman,   President and CEO","US","4,161.13","4,719.00","-11.82%","13,423.00","31.00%"
"19","22","GE Aviation","David Joyce, President and CEO","US","3,700.00","4,000.00","-7.50%","24,660.00","15.00%"
"20","25","Babcock International 1","Peter Rogers, CEO","UK","3,357.41","3,558.80","-5.66%","7,298.72","46.00%"
"21","20","Safran","Phillippe Petitcolin, CEO","France","3,334.44","4,081.30","-18.30%","19,329.54","17.25%"
"22","21","DCNS Group","HervŽ Guillou, Chairman and CEO","US","3,288.55","4,074.70","-19.29%","3,363.30","97.78%"
"23","24","Leidos","Roger Krone, Chairman and CEO","US","3,248.00","3,627.00","-10.45%","5,086.00","63.86%"
"24","27","Bechtel","Bill Dudley, CEO","US","3,230.00","3,000.00","7.67%","37,200.00","8.68%"
"25","23","Russian Helicopters 3","Alexander Mikheev, CEO","Russia","3,193.99","3,960.00","-19.34%","3,629.54","88.00%"
"26","29","Elbit Systems","Bezhalel Machlis, President and CEO","Israel","3,108.00","2,958.20","5.06%","3,108.00","100.00%"
"27","28","Rheinmetall","Armin Papperger, CEO","Germany","2,876.01","2,976.90","-3.39%","5,753.00","49.99%"
"28","34","SAIC","Tony Moraco, CEO","US","2,838.00","2,735.00","3.77%","4,315.00","65.77%"
"29","32","Israel Aerospace Industries","Joseph Weiss, President & CEO","Israel","2,776.00","2,785.00","-0.32%","3,708.00","74.87%"
"30","33","Orbital ATK","David Thompson, President and CEO","US","2,775.00","2,750.00","0.91%","4,515.00","61.46%"
"31","18","AECOM","Michael Burke, Chairman and CEO","US","2,735.00","4,433.00","-38.30%","17,989.90","15.20%"
"32","30","Saab","HŒkan Buskhe, President and CEO","Sweden","2,643.83","2,829.30","-6.56%","3,224.26","82.00%"
"33","19","Booz Allen Hamilton","Horacio Rozanski, President and CEO","US","2,600.00","4,100.00","-36.59%","5,405.74","48.10%"
"34","70","KNDS 6","Frank Haun and StŽphane Mayer, CEOs","Germany","2,442.00","1,096.20","122.77%","2,442.00","100.00%"
"35","38","Hindustan Aeronautics","T. Suvarna Raju, Chairman and   Managing Director","India","2,410.97","2,480.40","-2.80%","2,560.61","94.16%"
"36","36","Mitsubishi Heavy Industries 7","Shunichi Miyanaga, President and   CEO","Japan","2,395.12","2,626.70","-8.82%","42,761.81","5.60%"
"37","31","Tactical Missiles Corporation, JSC","Boris Obnosov, Director General","Russia","2,387.78","2,147.80","11.17%","2,498.22","95.58%"
"38","53","Hanwha Group 8","Seung Youn Kim, Chairman","South Korea","2,374.74","1,545.00","53.70%","2,427.72","97.82%"
"39","37","CACI International","Ken Asbury, President and CEO","US","2,217.03","2,578.00","-14.00%","3,313.45","66.91%"
"40","41","Rockwell Collins","Kelly Ortberg, President and CEO","US","2,187.00","2,209.00","-1.00%","5,244.00","41.70%"
